participant_id	age	sex	handedness
A00057235	21.0	FEMALE	RIGHT
A00057372	26.0	MALE	RIGHT
A00057405	13.0	FEMALE	RIGHT
A00057406	21.0	FEMALE	RIGHT
A00057444	23.0	FEMALE	RIGHT
A00057445	56.0	FEMALE	RIGHT
A00057725	7.0	FEMALE	RIGHT
A00057786	22.0	FEMALE	RIGHT
A00057808	27.0	FEMALE	RIGHT
A00057809	8.0	FEMALE	RIGHT
A00057862	10.0	FEMALE	RIGHT
A00057863	8.0	MALE	AMBIDEXTEROUS
A00057965	37.0	MALE	RIGHT
A00057967	11.0	MALE	AMBIDEXTEROUS
A00058004	8.0	MALE	RIGHT
A00058053	14.0	FEMALE	RIGHT
A00058060	8.0	FEMALE	RIGHT
A00058061	10.0	FEMALE	AMBIDEXTEROUS
A00058130	80.0	MALE	LEFT
A00058145	80.0	FEMALE	RIGHT
A00058214	24.0	FEMALE	RIGHT
A00058215	6.0	FEMALE	RIGHT
A00058218	38.0	FEMALE	RIGHT
A00058229	15.0	MALE	RIGHT
A00058318	72.0	FEMALE	RIGHT
A00058436	70.0	FEMALE	RIGHT
A00058503	42.0	FEMALE	RIGHT
A00058515	25.0	FEMALE	LEFT
A00058516	10.0	MALE	RIGHT
A00058537	14.0	MALE	RIGHT
A00058552	45.0	FEMALE	RIGHT
A00058570	9.0	FEMALE	RIGHT
A00058621	21.0	FEMALE	RIGHT
A00058644	71.0	FEMALE	RIGHT
A00058667	23.0	FEMALE	RIGHT
A00058685	17.0	MALE	RIGHT
A00058951	8.0	FEMALE	AMBIDEXTEROUS
A00058952	38.0	MALE	RIGHT
A00058998	71.0	FEMALE	RIGHT
A00058999	21.0	FEMALE	RIGHT
A00059074	35.0	FEMALE	RIGHT
A00059107	57.0	FEMALE	RIGHT
A00059109	11.0	MALE	AMBIDEXTEROUS
A00059325	12.0	MALE	AMBIDEXTEROUS
A00059327	11.0	FEMALE	RIGHT
A00059344	43.0	MALE	RIGHT
A00059346	42.0	FEMALE	AMBIDEXTEROUS
A00059361	69.0	MALE	RIGHT
A00059427	10.0	FEMALE	RIGHT
A00059428	34.0	FEMALE	RIGHT
A00059527	21.0	FEMALE	RIGHT
A00059662	57.0	FEMALE	AMBIDEXTEROUS
A00059663	71.0	FEMALE	RIGHT
A00059664	63.0	FEMALE	RIGHT
A00059733	9.0	MALE	RIGHT
A00059734	6.0	FEMALE	AMBIDEXTEROUS
A00059756	34.0	FEMALE	RIGHT
A00059845	44.0	MALE	RIGHT
A00059865	14.0	FEMALE	RIGHT
A00059875	8.0	FEMALE	AMBIDEXTEROUS
A00059911	26.0	FEMALE	RIGHT
A00059935	15.0	MALE	RIGHT
A00059990	18.0	MALE	RIGHT
A00060005	56.0	FEMALE	AMBIDEXTEROUS
A00060006	31.0	FEMALE	RIGHT
A00060093	27.0	MALE	RIGHT
A00060099	12.0	MALE	RIGHT
A00060100	10.0	MALE	RIGHT
A00060169	22.0	FEMALE	RIGHT
A00060170	65.0	MALE	RIGHT
A00060184	70.0	MALE	RIGHT
A00060185	68.0	FEMALE	RIGHT
A00060252	78.0	FEMALE	RIGHT
A00060259	32.0	FEMALE	RIGHT
A00060264	52.0	FEMALE	RIGHT
A00060265	11.0	FEMALE	RIGHT
A00060279	28.0	FEMALE	RIGHT
A00060280	16.0	MALE	LEFT
A00060301	75.0	MALE	RIGHT
A00060302	22.0	FEMALE	RIGHT
A00060306	76.0	MALE	RIGHT
A00060372	30.0	FEMALE	RIGHT
A00060383	55.0	MALE	AMBIDEXTEROUS
A00060384	12.0	FEMALE	RIGHT
A00060407	43.0	MALE	RIGHT
A00060429	10.0	FEMALE	RIGHT
A00060430	45.0	FEMALE	RIGHT
A00060431	72.0	MALE	LEFT
A00060471	25.0	MALE	RIGHT
A00060472	16.0	MALE	RIGHT
A00060480	32.0	MALE	RIGHT
A00060493	6.0	FEMALE	RIGHT
A00060503	13.0	MALE	LEFT
A00060516	23.0	MALE	RIGHT
A00060574	57.0	FEMALE	RIGHT
A00060575	66.0	FEMALE	RIGHT
A00060582	22.0	FEMALE	LEFT
A00060602	67.0	FEMALE	RIGHT
A00060603	11.0	MALE	RIGHT
A00060628	18.0	FEMALE	AMBIDEXTEROUS
A00060629	19.0	MALE	RIGHT
A00060630	28.0	FEMALE	RIGHT
A00060662	26.0	MALE	RIGHT
A00060664	12.0	FEMALE	RIGHT
A00060675	6.0	FEMALE	RIGHT
A00060773	23.0	FEMALE	RIGHT
A00060806	16.0	FEMALE	RIGHT
A00060848	27.0	FEMALE	RIGHT
A00060923	64.0	FEMALE	RIGHT
A00060925	24.0	FEMALE	RIGHT
A00061001	44.0	FEMALE	RIGHT
A00061021	62.0	FEMALE	RIGHT
A00061203	53.0	FEMALE	LEFT
A00061204	40.0	MALE	RIGHT
